Model No,# hidden layers,# neurons - hidden layer,activation function - hidden layer ,# epochs,batch size,optimizer,"learning rate, momentum",weight initializer,regularization,train loss,validation loss,train recall,validation recall,time (secs)
1,1,16,ReLU,50,32,SGD,"[0.01, '-']",-,-,0.111683287,0.113589905,0.448198199,0.518018007,68.25
2,1,16,ReLU,50,32,SGD,"[0.01, 0.9]",-,-,0.074216411,0.077014521,0.70045048,0.689189196,58.96
3,2,"[16, 8]","['ReLU', 'ReLU']",50,32,SGD,"[0.01, 0.9]",-,-,0.057651233,0.054069288,0.784909904,0.797297299,65.61
4,2,"[16, 8]","['ReLU', 'ReLU']",50,32,SGD,"[0.01, 0.9]",-,Dropout (0.3),0.093039654,0.060558122,0.592342317,0.761261284,62.01
5,2,"[16, 8]","['ReLU', 'ReLU']",50,32,ADAM,[0.01],-,-,0.064352363,0.073844634,0.77364862,0.64864862,61.71
6,2,"[16, 8]","['ReLU', 'ReLU']",50,32,SGD,"[0.01, 0.9]",-,Dropout (0.1),0.074650325,0.061986905,0.713963985,0.783783793,64.1
7,2,"[16, 8]","['ReLU', 'ReLU']",50,32,SGD,"[0.01, 0.9]",Glorot Normal,-,0.057733327,0.05132778,0.790540516,0.828828812,60.23
8,2,"[16, 8]","['ReLU', 'ReLU']",50,32,SGD,"[0.001, 0.9]",Glorot Normal,-,0.104680188,0.106637903,0.530405402,0.608108103,60.71
9,2,"[16, 8]","['ReLU', 'ReLU']",50,32,SGD,"[0.01, 0.9]",Glorot Normal,Dropout (0.1),0.074488319,0.059844341,0.702702701,0.707207203,64.15
10,2,"[32, 16]","['ReLU', 'ReLU']",50,32,SGD,"[0.01, 0.9]",Glorot Normal,-,0.05447875,0.054763529,0.805180192,0.788288295,61.48
11,2,"[16, 8]","['ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",Glorot Normal,-,0.055565264,0.046216182,0.816441417,0.837837815,114.02
12,2,"[16, 8]","['ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",Glorot Normal,-,0.057030484,0.054863315,0.802927911,0.815315306,153.97
13,2,"[16, 8]","['ReLU', 'ReLU']",100,16,SGD,"[0.01, 0.9]",Glorot Normal,-,0.043217625,0.043167178,0.859234214,0.873873889,219.43
14,3,"[16, 8, 4]","['ReLU', 'ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",Glorot Normal,-,0.048051804,0.046321418,0.843468487,0.828828812,115.86
15,3,"[16, 8, 4]","['ReLU', 'ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",Glorot Uniform,-,0.047127388,0.04846397,0.847972989,0.842342317,114.99
16,3,"[32, 16, 8]","['ReLU', 'ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",Glorot Uniform,-,0.045657679,0.042866848,0.846846819,0.833333313,114.27
17,2,"[16, 8]","['ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",He Normal,-,0.053037278,0.044442683,0.819819808,0.85135138,111.51
18,2,"[16, 8]","['ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",He Uniform,-,0.050180864,0.051561579,0.82545048,0.837837815,71.23
19,2,"[32, 16]","['ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",He Uniform,-,0.045614667,0.046860978,0.8490991,0.833333313,111.13
20,3,"[16, 8, 4]","['ReLU', 'ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",He Uniform,-,0.049991731,0.042456303,0.835585594,0.860360384,115.41
21,3,"[32, 16, 8]","['ReLU', 'ReLU', 'ReLU']",50,16,SGD,"[0.01, 0.9]",He Uniform,Dropout (0.3),0.097102799,0.067784593,0.582207203,0.752252281,154.05
